OBJECTID,Facility_Name,Type,Owner,County,Latitude,Longitude
1,CDF Kiriari Dispensary,Dispensary,Ministry of Health,Embu,-0.39940000000,37.47605000000
2,St Jude's Huruma Community Health Services,Medical Clinic,Private Practice - Unspecified,Nairobi,-1.26174000000,36.87765000000
3,12 Engineers,Dispensary,Ministry of Health,Kiambu,-1.07354000000,37.14413000000
4,3Kl Maternity & Nursing Home,Nursing Home,Private Practice - Clinical Officer,Kajiado,-1.37570000000,36.72277000000
5,8Th Street Clinic,Medical Clinic,Private Enterprise (Institution),Kajiado,-1.41187000000,36.50854000000
6,AAR Adams Health Centre,Medical Clinic,Private Practice - General Practitioner,Nairobi,-1.30047000000,36.73162000000
7,AAR City Centre Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,-1.28443000000,36.82135000000
8,AAR Clinic Sarit Centre (Westlands),Medical Clinic,Private Enterprise (Institution),Nairobi,-1.26170000000,36.80211000000
9,AAR Eldoret,Medical Clinic,Private Practice - General Practitioner,Uasin Gishu,0.51676000000,35.27422000000
10,AAR Gwh Health Care Ltd,Health Centre,Private Enterprise (Institution),Nairobi,-1.29467000000,36.80897000000
11,AAR Health Care,Health Centre,Private Practice - Medical Specialist,Nairobi,-1.30954000000,36.91240000000
12,AAR Health Care-Kisumu,Medical Clinic,Private Practice - General Practitioner,Kisumu,-0.10465000000,34.75328000000
13,AAR Healthcare Limited (Karen),Medical Clinic,Private Enterprise (Institution),Nairobi,-1.34080000000,36.75777000000
14,AAR Kariobangi Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,-1.23625000000,36.96017000000
15,AAR Medical Services (Docks),Medical Clinic,Private Enterprise (Institution),Mombasa,-4.06012000000,39.66429000000
16,AAR Mountain mall,Medical Clinic,Private Practice - Nurse / Midwife,Nairobi,-1.23283000000,36.87403000000
17,AAR Nakuru Clinic,Dispensary,Non-Governmental Organizations,Nakuru,-0.23285000000,36.04388000000
18,AAR Outpatient Center Donholm,Medical Clinic,Private Practice - General Practitioner,Nairobi,-1.18072000000,36.53169000000
19,AAR Thika out Patient Centre,Medical Clinic,Private Practice - General Practitioner,Kiambu,-1.03863000000,37.07750000000
20,AAR Thika Road Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,-1.21480000000,36.86650000000
21,Abakore Sub District Hospital,Sub-District Hospital,Ministry of Health,Wajir,0.63091000000,39.71226000000
22,Abandoned Child Care,Dispensary,Non-Governmental Organizations,Nairobi,-1.27396000000,36.69119000000
23,Abba Medical Clinic,Medical Clinic,Private Enterprise (Institution),Nyeri,-0.49793000000,36.99488000000
24,Abby Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,-1.26379000000,36.74795000000
